wavelength,r0_ref,run_number,num_airy,power_in_bucket_before_turbulance,total_power_before_turbulance,precentage_before_turbulance,power_in_bucket_after_turbulance,total_power_after_turbulance,precentage_after_turbulance,conservation_of_energy[%],power_after_AO,time
1.55e-06,0.1,5,4,0.9056583345957985,0.9056583345957985,1.0,0.8994250854858169,0.01860681069800243,0.02068744912529554,89.94250854858173,0.8732207952422747,2025-12-03 00:06:12
1.55e-06,0.017,999,5,0.9262265307446073,0.9262265307446073,1.0,0.8409068539508311,0.006152315836104146,0.007316286943314509,84.09068539508316,0.8929558134113534,2025-12-20 03:04:21
1.55e-06,0.017,999,5,0.9262265307446073,0.9262265307446073,1.0,0.823129173949265,0.0013411134393715102,0.0016292867290039364,82.31291739492654,0.8916746724744389,2026-01-04 11:31:14
1.55e-06,0.017,999,5,0.9262265307446073,0.9262265307446073,1.0,0.8107256307091575,0.0005092548102019411,0.0006281469228455082,81.07256307091579,0.0,2026-01-04 12:51:11
1.55e-06,0.017,999,5,0.9262265307446085,0.9262265307446085,1.0,0.8218344925608154,9.061034879369094e-05,0.0001102537671683156,82.18344925608159,4.684986414611209e-08,2026-01-04 13:44:22
1.55e-06,0.05,999,5,0.9262265307446085,0.9262265307446085,1.0,0.9079876126006488,0.00010952390326066187,0.00012062268442954263,90.79876126006492,5.180985430412545e-08,2026-01-04 13:45:34
1.55e-06,0.05,999,5,0.9262265307446085,0.9262265307446085,1.0,0.9104176114033589,0.005383603475462411,0.005913334065631574,91.04176114033594,1.9901351173026456e-09,2026-01-04 13:47:42
1.55e-06,0.05,999,5,0.9262265307446085,0.9262265307446085,1.0,0.9121818962894197,0.022695729123126108,0.024880705499032554,91.21818962894201,0.8923257426340294,2026-01-05 00:27:32
1.55e-06,0.04,999,5,0.9262265307446085,0.9262265307446085,1.0,0.9076809530309571,0.027595183311028823,0.030401853447383807,90.76809530309575,0.8907747953512073,2026-01-05 00:30:06
1.55e-06,0.04,999,5,0.9262265307446085,0.9262265307446085,1.0,0.9030878317181795,0.0028616058946357775,0.0031686905682157163,90.30878317181799,0.8975492669839394,2026-01-05 00:32:42
1.55e-06,0.04,999,5,0.9262265307446085,0.9262265307446085,1.0,0.9087292771790917,0.0046372954758240985,0.005103054993693335,90.8729277179092,0.8954144589547047,2026-01-05 00:33:54
1.55e-06,0.04,999,5,0.9262265307446085,0.9262265307446085,1.0,0.9069574875753683,0.004652659453420353,0.005129964212389522,90.69574875753688,0.8814460944179575,2026-01-05 00:35:00
1.55e-06,0.04,999,5,0.9262265307446085,0.9262265307446085,1.0,0.9117041937935019,0.03353689375112277,0.036784840937913656,91.17041937935024,0.8840149362386853,2026-01-05 00:38:20
1.55e-06,0.04,999,5,0.9262265307446085,0.9262265307446085,1.0,0.907730898313019,0.014242030940815723,0.015689706021117005,90.77308983130195,0.9001396452553716,2026-01-05 00:40:14
1.55e-06,0.04,999,5,0.9262265307446085,0.9262265307446085,1.0,0.9074922380182051,0.005618464806571733,0.00619119874660462,90.74922380182055,0.9063937981398771,2026-01-05 00:47:26
1.55e-06,0.04,999,5,0.9262265307446085,0.9262265307446085,1.0,0.8924413098244449,0.008293246678170062,0.009292764226480567,89.24413098244453,0.6401925605168289,2026-01-05 00:49:08
1.55e-06,0.04,999,5,0.9262265307446085,0.9262265307446085,1.0,0.9012783499233126,0.0017889689861442383,0.0019849239541773716,90.1278349923313,0.9077123382290881,2026-01-05 00:50:20
1.55e-06,0.017,999,5,0.9262265307446085,0.9262265307446085,1.0,0.8445972192199711,0.0007903178937111541,0.0009357334783094045,84.45972192199716,0.8482264883118318,2026-01-05 00:52:23
1.55e-06,0.017,999,5,0.9262265307446085,0.9262265307446085,1.0,0.8484920156359712,0.0004908406975513371,0.000578485935643645,84.84920156359716,0.8443693352763104,2026-01-05 00:55:10
